OID_;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstige;ULICHTVERH;IstGkfz;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;UIDENTSTLAE;IstStrassenzustand
163662;5;9;13;0;2021;3;16;6;3;6;4;1;0;1;0;0;0;0;394262,042553378269076;5708423,672533791512251;7,476069681000070;51,517027033000033;5210312301101060000;1
163663;5;9;13;0;2021;4;14;1;3;0;1;1;0;0;0;0;0;0;399688,051243934780359;5706033,861556729301810;7,554923440000039;51,496535025000071;5210418301303370000;0
163664;5;9;13;0;2021;4;13;2;3;0;6;1;1;0;0;0;0;0;391772,216999955475330;5707251,985999614000320;7,440559330000042;51,506023924000033;5210419301101230000;0
163668;5;3;82;76;2021;6;18;2;2;8;1;1;0;0;0;0;0;0;396170,859391002915800;5625557,759177256375551;7,527469171000064;50,772478257000046;5210607607000020000;0
163669;5;9;14;0;2021;3;21;6;3;0;3;1;1;0;0;0;2;0;394466,343536256812513;5695100,061290748417377;7,482989018000069;51,397304216000066;5210319302000070000;0
163671;5;5;66;76;2021;9;13;3;3;5;3;1;1;0;0;0;0;0;394337,442999959923327;5792986,653999658301473;7,451236189000042;52,277083433000030;5210921709500370000;0
163673;5;9;13;0;2021;2;14;4;3;5;3;1;1;0;0;0;0;0;398793,081999969668686;5710650,726999629288912;7,540709290000052;51,537875511000038;5210224301306780000;0
163675;5;9;13;0;2021;5;14;2;3;8;1;1;0;0;0;0;0;0;396134,487801722250879;5707968,241080502048135;7,503180191000069;51,513280728000041;5210510301302270000;0
163679;5;3;74;52;2021;6;17;7;3;9;1;1;0;0;0;0;0;0;393771,190594697371125;5664385,183759735897183;7,482122080000067;51,121080827000071;5210612605152570000;0
163680;5;9;78;20;2021;5;17;6;3;3;5;1;1;0;0;0;0;0;403374,683389351703227;5714740,396335426717997;7,605625472000042;51,575440364000031;5210514317210010000;0
163681;5;3;82;16;2021;11;9;3;3;0;1;1;0;0;0;0;0;0;392191,100305362604558;5623480,129968019202352;7,471656957000050;50,753074984000079;5211102607300030000;1
163682;5;9;13;0;2021;4;15;3;3;2;7;1;0;0;1;0;0;0;392413,817999958060682;5706836,684999616816640;7,449927115000037;51,502413537000052;5210427301101680000;0
