OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
107638;5;9;78;36;2019;5;13;3;3;5;7;0;1;1;0;0;0;0;409111,226995537990000;5709819,165136193900000;7,689655852000044;51,532156162000035;0
107649;5;3;15;0;2019;5;9;3;3;5;3;0;1;0;0;0;0;1;355733,145949994210000;5643633,628038678300000;6,947187605000067;50,926278793000051;0
107653;5;9;15;0;2019;5;9;3;2;0;1;0;1;0;0;0;0;0;419846,327000000510000;5726974,332000000400000;7,840464715000053;51,688002568000059;0
107656;5;9;15;0;2019;5;12;3;3;4;2;0;1;1;0;0;0;0;419036,333738046700000;5729276,868653537700000;7,828215100000023;51,708585090000042;0
107660;5;9;13;0;2019;5;7;3;3;5;2;0;1;1;0;0;0;0;391602,703054326590000;5704561,151713995300000;7,438944322000054;51,481805152000049;0
107661;5;3;15;0;2019;5;17;3;3;0;5;0;1;1;0;0;0;0;356404,048000000420000;5643129,261000001800000;6,956926166000073;50,921913485000061;0
107664;5;9;11;0;2019;5;7;3;3;1;5;0;1;1;0;0;0;0;383093,797727791590000;5703741,445240752800000;7,316731607000065;51,472743008000066;0
107665;5;9;11;0;2019;5;17;3;3;5;3;0;1;1;0;0;0;0;371779,026689239780000;5702829,677100695700000;7,154234072000065;51,462097871000026;0
107666;5;3;14;0;2019;5;9;3;3;5;3;0;1;1;0;0;0;0;367601,134000001480000;5619642,752000002200000;7,124618663000035;50,713496398000075;0
107675;5;3;15;0;2019;5;9;3;3;1;5;0;1;1;0;0;0;0;356310,617000001480000;5647867,096000004600000;6,953728760000047;50,964468452000062;0
107679;5;3;14;0;2019;5;11;3;3;0;2;0;1;1;0;0;0;0;369535,181000000800000;5616606,762000002000000;7,153070923000030;50,686645390000081;0
107684;5;5;70;8;2019;5;7;2;3;0;7;0;1;0;0;0;0;0;434281,189445554280000;5734204,788661353300000;8,047886387000062;51,754880783000033;0
107690;5;5;58;24;2019;5;15;3;3;5;3;0;1;0;0;0;0;1;392212,565928064290000;5736467,293336017100000;7,437904058000072;51,768700838000029;0
107691;5;5;66;76;2019;5;8;2;3;5;2;0;1;1;0;0;0;0;392667,867000000550000;5793214,147000003600000;7,426701656000034;52,278804514000058;0
107692;5;5;58;24;2019;5;8;2;3;3;2;0;1;1;0;0;0;0;393148,401123176330000;5736752,929765723600000;7,451373288000070;51,771447545000058;0
107694;5;5;15;0;2019;5;18;2;3;3;6;0;1;0;0;0;0;0;404826,681127021090000;5758354,776018733200000;7,614619007000044;51,967724024000063;0
107695;5;5;15;0;2019;5;18;2;2;0;1;0;1;0;0;0;0;0;403999,397360404950000;5758107,933168496900000;7,602649601000053;51,965363056000058;0
107696;5;5;15;0;2019;5;9;2;3;1;1;0;1;1;0;0;0;0;406813,805084995930000;5757689,307136736800000;7,643716112000050;51,962079149000033;0
107697;5;9;11;0;2019;5;18;4;3;5;3;0;1;1;0;0;0;0;376634,732314242050000;5704707,212126191700000;7,223440611000058;51,480051316000072;0
107701;5;5;62;20;2019;5;15;2;2;5;2;0;1;1;0;0;0;0;371121,489312858320000;5718043,819476289700000;7,139206347000027;51,598677253000062;0
107705;5;5;13;0;2019;5;17;2;3;5;3;0;1;1;0;0;0;0;364417,566439576450000;5716489,020272983200000;7,043072692000067;51,583131543000036;0
107707;5;3;14;0;2019;5;16;3;3;5;2;0;1;0;0;1;0;0;367873,324885588140000;5622604,890756929300000;7,127410605000023;50,740182390000029;0
107714;5;3;78;4;2019;5;7;2;3;5;3;0;1;1;0;0;0;0;364969,092562112030000;5652738,027511579900000;7,075146483000026;51,010340228000075;0
107719;5;3;62;28;2019;5;9;2;2;4;6;0;1;1;0;0;0;0;352307,904586341230000;5635526,642500842000000;6,901760510000031;50,852557621000074;0
107722;5;3;62;20;2019;5;14;2;3;0;7;0;1;1;0;0;0;0;344030,613686828870000;5634601,622838288500000;6,784651610000026;50,842072726000026;0
107724;5;3;62;24;2019;5;16;2;3;5;2;0;1;1;0;0;0;0;347315,421726182100000;5642412,992710858600000;6,828009960000031;50,913143605000073;0
107725;5;7;66;28;2019;5;17;4;2;5;3;0;1;0;0;1;0;0;507647,710492849350000;5768719,163837246600000;9,111572233000061;52,069005902000072;0
107734;5;3;15;0;2019;5;14;2;3;5;2;0;1;1;0;0;0;0;359779,274238234390000;5644844,462920427300000;7,004257362000033;50,938158408000049;0
107735;5;1;70;4;2019;5;6;3;2;5;3;0;1;1;0;0;0;0;325277,452999999750000;5718356,288000000600000;6,477738272000067;51,589132354000071;0
107736;5;3;15;0;2019;5;7;2;3;0;3;0;1;1;0;0;0;0;357706,636000000870000;5646906,903000004600000;6,973971481000035;50,956185756000082;0
107738;5;3;15;0;2019;5;16;2;3;0;3;0;1;1;0;0;0;0;356578,131823472680000;5647104,368511276300000;6,957836458000031;50,957680599000071;0
107743;5;3;14;0;2019;5;18;2;3;5;3;0;1;1;0;0;0;0;367057,071926735340000;5624887,401364844300000;7,115024787000039;50,760511339000061;0
107745;5;1;70;8;2019;5;15;2;3;5;2;0;1;1;0;0;0;0;344908,940999999640000;5717348,789000002700000;6,761332218000064;51,585825971000077;0
107748;5;1;70;24;2019;5;19;2;3;5;2;0;1;1;0;0;0;0;335910,410818071100000;5702740,764611288900000;6,638359650000041;51,452038859000027;0
107751;5;1;58;16;2019;5;7;3;3;5;3;0;1;1;0;0;0;0;353415,152756111700000;5671004,231418957900000;6,903146087000039;51,171658462000039;0
107752;5;1;58;16;2019;5;7;2;3;5;3;0;1;1;0;0;0;0;354228,633671291170000;5672052,531949259300000;6,914349253000069;51,181286696000029;0
107755;5;1;66;32;2019;5;19;2;2;5;2;0;1;1;0;0;0;0;319713,112000000660000;5682265,162000000500000;6,415862827000069;51,263186624000070;0
107756;5;1;62;24;2019;5;15;2;3;5;2;0;1;1;0;0;0;0;340765,478000001050000;5672752,963999999700000;6,721568613000045;51,183989115000031;0
107757;5;5;15;0;2019;5;16;3;3;5;3;0;1;1;0;0;0;0;405194,139560702260000;5750111,041441345600000;7,622237631000076;51,893688350000048;0
107758;5;1;62;24;2019;5;9;2;2;5;2;0;1;1;0;0;0;0;337255,976334911770000;5675866,180166514600000;6,669985121000025;51,210972306000031;0
107759;5;1;19;0;2019;5;15;2;3;5;2;0;1;0;0;0;0;1;350525,246992363590000;5705373,003603912900000;6,847421623000059;51,479737525000075;0
107760;5;1;54;16;2019;5;13;3;3;5;3;0;1;1;0;0;0;0;304492,324976441450000;5728618,977159969500000;6,172330393000038;51,674470480000082;0
107767;5;1;17;0;2019;5;18;2;2;5;3;0;1;1;0;0;0;0;356216,890606565400000;5700103,737660506700000;6,931470225000055;51,433863697000049;0
107772;5;1;13;0;2019;5;18;2;3;5;2;0;1;1;0;0;0;0;356096,872057237660000;5691742,147794099500000;6,933135068000070;51,358695794000027;0
107779;5;1;12;0;2019;5;6;2;3;0;7;0;1;0;0;0;0;0;344437,031126479620000;5704656,413906076900000;6,760131692000073;51,471657584000070;0
107782;5;7;70;4;2019;5;15;2;3;5;3;0;1;1;0;0;0;0;486834,592133446600000;5783154,301206046700000;8,807371684000032;52,198684245000038;0
107791;5;7;54;44;2019;5;7;2;3;5;2;0;1;1;0;0;0;0;465491,503614650110000;5749001,178768763300000;8,498549808000064;51,890706202000047;0
107793;5;7;54;28;2019;5;18;2;3;0;7;0;1;0;0;0;0;0;451467,346921445800000;5744082,032290389800000;8,295467455000050;51,845435986000041;0
107798;5;7;66;16;2019;5;19;2;3;5;3;0;1;1;0;0;0;0;503206,776225674900000;5755384,254380106900000;9,046658751000052;51,949156031000030;0
107803;5;9;78;36;2019;5;16;2;2;0;3;0;1;1;0;0;0;0;406435,644000000320000;5709449,037000002300000;7,651191629000039;51,528391928000076;0
107808;5;9;70;40;2019;5;16;2;3;5;2;0;1;1;0;0;0;0;428713,158000000750000;5632935,254000000700000;7,987464825000075;50,843725391000078;0
107812;5;9;74;4;2019;5;17;4;3;0;5;0;1;1;0;0;0;0;453372,583333427090000;5712618,828402288300000;8,327331331000039;51,562719334000064;0
107820;5;9;62;24;2019;5;15;2;3;5;3;0;1;1;0;0;0;0;408468,411022159270000;5689930,665859032400000;7,685534453000059;51,353265869000040;0
