OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
59632;5221229601500081806;5;3;15;0;2022;12;8;5;3;5;2;1;1;1;1;0;0;0;0;365165,152999865997117;5649539,641999470070004;7,079127173000070;50,981640910000102
59649;5221222500200078872;5;1;11;0;2022;12;15;5;3;0;7;0;1;1;1;0;0;0;0;345191,516094144026283;5679121,909156760200858;6,782098789000030;51,242432602000100
59706;5221229600110095310;5;3;14;0;2022;12;22;5;3;6;4;2;0;1;0;1;0;0;0;365244,833978770009708;5622279,813780469819903;7,090298573000040;50,736656621000101
59731;5221230500200001717;5;1;11;0;2022;12;16;6;3;0;5;0;1;1;1;0;0;0;0;345032,323493907984812;5679030,750847630202770;6,779859364000060;51,241570289000002
59745;5221229501317396073;5;1;12;0;2022;12;18;5;2;0;1;2;1;1;0;0;0;0;0;344727,794999735022429;5699143,637999149970710;6,766733590000060;51,422205344000098
59747;5221222711111296688;5;5;70;52;2022;12;12;5;3;0;6;0;1;1;0;0;0;0;0;427572,772811201983131;5761495,318231440149248;7,944986940000040;51,999385238000102
59783;5221222600120795389;5;3;82;24;2022;12;13;5;3;0;1;0;1;1;0;0;0;0;0;372191,328942326013930;5615215,850529160350561;7,191133389000070;50,674732748000103
59796;5221228301304438937;5;9;13;0;2022;12;10;4;2;0;1;0;1;1;0;0;0;0;0;403874,210284347995184;5709975,028105380013585;7,614134308000080;51,532689830999999
59820;5221229605136090381;5;3;74;36;2022;12;12;5;3;5;3;0;0;1;1;0;0;0;0;387166,225117260997649;5673009,676910109817982;7,385079281000060;51,197340887999999
59822;5221222701800980500;5;5;62;4;2022;12;13;5;3;0;1;0;0;1;0;0;0;0;0;384602,363751196011435;5716525,487226010300219;7,334253583000020;51,587954237000098
59833;5221223702100396748;5;5;15;0;2022;12;11;6;3;0;2;0;1;1;1;0;0;0;0;407431,470999980985653;5758068,622999659739435;7,652601026000070;51,965591824000100
59843;5221225602400477500;5;3;62;32;2022;12;12;1;3;5;3;0;1;1;1;0;0;0;0;338157,839699157979339;5642862,924555160105228;6,697649912000030;50,914691377000104
59846;5221223405108382150;5;7;54;8;2022;12;16;6;3;5;3;0;1;1;1;0;0;0;0;458206,543000000994653;5751522,610999659635127;8,392390618000039;51,912876746000101
59876;5221229702100574469;5;5;15;0;2022;12;6;5;3;5;2;2;1;1;1;0;0;0;0;404599,123999977018684;5755714,818999660201371;7,612040675000060;51,943956066000098
59881;5221227709110606884;5;5;66;8;2022;12;16;3;3;3;2;2;0;1;1;0;0;0;0;399225,847999971010722;5780803,726999660022557;7,526491692000040;52,168505607000000
59883;5221227500100795951;5;1;11;0;2022;12;12;3;2;0;1;0;0;1;0;0;0;0;0;344687,424607403983828;5677954,804758950136602;6,775388699000080;51,231808746000098
59898;5221227702100096666;5;5;15;0;2022;12;13;3;3;5;3;0;0;1;1;0;0;0;0;408600,865999982983340;5756449,564999659545720;7,670048161000070;51,951232264000097
59915;5221224709300176628;5;5;66;84;2022;12;13;7;3;5;3;0;1;1;1;0;0;0;0;386000,802999945008196;5779275,090999630279839;7,333713286000030;52,152194680999997
59916;5221230514110096022;5;1;66;32;2022;12;21;6;3;5;3;2;1;1;1;0;0;0;0;318718,201500846014824;5681341,987879429943860;6,402085770000040;51,254578396000099
59933;5221222701300663432;5;5;62;14;2022;12;6;5;3;5;3;2;1;1;0;0;0;0;0;359210,243020260997582;5715954,769670199602842;6,968176982000050;51,577054025000102
59940;5221227601300374413;5;3;15;0;2022;12;15;3;3;5;2;0;0;1;1;0;0;0;0;352477,496997503971215;5644949,120005750097334;6,900362545000060;50,937277220000098
59969;5221223601500086595;5;3;15;0;2022;12;12;6;3;0;1;0;1;1;0;0;0;0;0;357308,889976138016209;5644119,173139389604330;6,969404110000030;50,931034271000001
60018;5221230709700776747;5;5;66;28;2022;12;18;6;3;5;3;2;1;1;1;0;0;0;0;412361,321377796004526;5792051,220207160338759;7,715587422000060;52,271844502000100
60025;5221222601300693354;5;3;15;0;2022;12;15;5;3;0;1;0;0;1;0;0;0;0;1;354171,449294483987615;5645956,603773199953139;6,924051653000050;50,946762012000100
60067;5221230602800985397;5;3;62;12;2022;12;17;6;3;5;3;2;0;1;1;0;0;0;0;352056,426999785006046;5630405,280999310314655;6,900256999000020;50,806469143000101
60090;5221230709500374669;5;5;66;76;2022;12;18;6;3;5;2;2;1;1;1;0;0;0;0;393651,217999960994348;5794099,024999660439789;7,440830852000030;52,286948205999998
60114;5220720602500982222;5;3;62;24;2022;7;17;4;3;5;2;0;0;1;1;0;0;0;0;347281,423413797980174;5642561,908739140257239;6,827464364000040;50,914472794000098
60116;5221228317110769014;5;9;78;36;2022;12;13;4;3;5;3;0;0;1;0;0;0;0;1;409300,012999982980546;5710057,177999639883637;7,692315505000070;51,534326100000001
60132;5221223608332794793;5;3;34;32;2022;12;21;6;2;0;1;2;1;1;0;0;0;0;0;306239,803862483997364;5622586,075286280363798;6,254807863000050;50,722725641000103
60137;5221229701120165420;5;5;62;32;2022;12;15;5;3;0;7;0;0;1;0;0;0;0;1;376000,718196026980877;5714389,704179850406945;7,210907187000030;51,566932263000098
60139;5221223307000093926;5;9;62;4;2022;12;13;6;3;0;7;0;1;1;0;0;0;0;0;408012,228312837018166;5683564,165298120118678;7,680628637000040;51,295959842000102
60151;5221229600140675846;5;3;14;0;2022;12;17;5;3;5;2;2;1;1;1;0;0;0;0;368250,425999880011659;5621809,443999489769340;7,133036464000040;50,733118493000099
60174;5221230503200090157;5;1;24;0;2022;12;15;6;3;4;2;0;1;1;1;0;0;0;0;376487,690393324010074;5683296,023582579568028;7,228770427000030;51,287584278000097
60181;5221222508000789497;5;1;19;0;2022;12;17;5;3;6;7;2;1;1;0;1;0;0;0;349725,434617818973493;5703688,336189050227404;6,836628786000060;51,464388284999998
60205;5221229501112591309;5;1;12;0;2022;12;16;5;3;5;3;1;1;1;1;0;0;0;0;344975,349999736004975;5708521,516999149695039;6,766179060000070;51,506532925999998
166151;5220106701300695069;5;5;62;14;2022;1;12;5;3;5;3;0;1;1;1;0;0;0;0;361249,048999846971128;5713214,307999449782073;6,998662609000060;51,552933395000103
166154;5220106602500486892;5;3;62;24;2022;1;21;5;3;0;1;2;1;1;0;0;0;0;0;345276,170469257980585;5641018,019034639932215;6,799614933000040;50,900065309000098
166159;5220108709110579617;5;5;66;8;2022;1;12;7;3;0;7;0;1;1;0;0;0;0;0;399958,655501988017932;5780686,563911479897797;7,537237464000040;52,167585897999999
166174;5220108601600181749;5;3;15;0;2022;1;14;7;3;0;5;0;0;1;1;0;0;0;0;362380,428706985025201;5644138,443968879990280;7,041522525000060;50,932439829000003
166183;5220110501317582162;5;1;12;0;2022;1;19;2;3;0;1;2;1;1;1;0;0;0;0;344995,784503136994317;5700216,845257320441306;6,770115393000030;51,431921484999997
166198;5220105400200390815;5;7;11;0;2022;1;12;4;3;5;2;0;1;1;1;0;0;0;0;467816,745999999984633;5763106,068999670445919;8,531015949000050;52,017658554000000
166204;5220111307000032164;5;9;62;40;2022;1;14;3;3;5;3;0;0;1;1;0;0;0;0;415245,258999985991977;5698897,322999640367925;7,780689490000040;51,434926194000099
