OID_;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
43641;5230626317110873372;5;9;78;36;2023;6;17;2;2;5;3;0;0;1;1;0;0;0;0;409349,314600000157952;5710174,685799999162555;7,692995864000068;51,535390336000034;1
43643;5230626316300090710;5;9;74;36;2023;6;16;2;3;0;1;0;0;1;0;0;0;0;0;465624,671000000089407;5702766,109400000423193;8,505038443000046;51,475009962000058;1
43645;5230702601500099042;5;3;15;0;2023;7;3;1;3;0;1;2;0;1;0;0;0;0;0;363157,275700000114739;5648483,345200000330806;7,050937895000061;50,971673906000035;1
43646;5230626315210341866;5;9;70;24;2023;6;21;2;3;4;2;1;0;1;1;0;0;0;0;426822,116999999620020;5649301,255999999120831;7,957326296000076;50,990638339000043;1
43647;5230626313121977298;5;9;58;32;2023;6;23;2;3;0;1;2;0;1;1;0;0;0;0;442097,397300000302494;5691234,829700000584126;8,168190231000040;51,369414479000056;1
43650;5230626307000690497;5;9;62;24;2023;6;13;2;3;5;3;0;0;1;0;0;1;0;0;410387,668800000101328;5693433,471899999305606;7,712205814000072;51,385060851000048;1
43651;5230626301304285050;5;9;13;0;2023;6;16;2;3;2;6;0;0;1;0;0;0;0;1;399532,973000000230968;5709091,434000000357628;7,551818882000020;51,523991510000030;1
43652;5230626301303986866;5;9;13;0;2023;6;18;2;3;0;1;0;0;1;1;0;0;0;0;398818,350200000219047;5705572,476099999621511;7,542531310000072;51,492232711000042;1
43655;5230626301301373405;5;9;78;24;2023;6;13;2;2;5;3;0;0;1;1;0;0;0;0;401100,731999999843538;5717008,312000000849366;7,572182564000059;51,595431838000081;1
43658;5230626300600996886;5;9;16;0;2023;6;16;2;3;5;3;0;0;1;1;0;0;0;0;376438,255800000391901;5711028,973400000482798;7,218397408000044;51,536824433000049;1
43659;5230626300600878310;5;9;16;0;2023;6;11;2;3;5;3;0;0;1;1;0;0;0;0;376777,984199999831617;5710833,365299999713898;7,223361785000066;51,535140696000042;1
43671;5230625705000977320;5;5;54;56;2023;6;18;1;2;0;3;0;0;1;1;0;0;0;0;356437,372000000439584;5761612,792999999597669;6,909303223000052;51,986608332000060;1
43673;5230625705000096576;5;5;54;4;2023;6;12;1;3;5;2;0;0;1;1;0;0;0;0;363061,031600000336766;5772372,339500000700355;7,001390346000051;52,084959871000081;1
43679;5230625702100096667;5;5;15;0;2023;6;1;1;2;0;7;2;0;1;0;0;0;0;0;406037,852800000458956;5756775,298800000920892;7,632675925000058;51,953733021000062;1
