OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
205547;5200418501319425202;5;1;12;0;2020;4;16;7;3;1;1;0;1;1;0;0;0;0;344745,705000000070000;5697138,087999999500000;6,767869117000032;51,404190324000069;1
205550;5200415508000168085;5;1;19;0;2020;4;13;4;3;1;5;0;1;0;0;0;0;1;352643,279099999930000;5708709,575799999800000;6,876507420000053;51,510274203000051;0
205551;5200417317210175439;5;9;78;20;2020;4;14;6;3;5;2;0;1;1;0;0;0;0;410802,680100000460000;5714760,348500000300000;7,712781540000037;51,576844087000040;0
205553;5200417609224919204;5;3;58;24;2020;4;16;6;2;3;6;0;1;0;0;0;0;0;314205,607200000440000;5644861,163000000600000;6,356252787000074;50,925429307000059;0
205554;5200415506100497863;5;1;16;0;2020;4;15;4;3;5;2;0;1;1;0;0;0;0;322211,249699999580000;5671013,282099999500000;6,457208615000070;51,162892304000081;0
205556;5200416301101371202;5;9;13;0;2020;4;20;5;3;0;7;0;1;1;0;0;0;0;392422,720800000240000;5706708,697300000100000;7,450094367000077;51,501264823000042;0
205558;5200416601210011200;5;3;15;0;2020;4;13;5;3;5;2;0;1;1;0;0;0;0;352979,072900000030000;5643124,245899999500000;6,908232178000048;50,921005882000031;0
205562;5200417601200150801;5;3;15;0;2020;4;15;6;3;3;1;0;1;1;0;0;0;0;359953,850999999790000;5639688,562999999200000;7,008719646000031;50,891863780000051;0
205563;5200415505200978949;5;1;14;0;2020;4;16;4;3;0;7;0;1;0;0;0;0;0;330023,996799999850000;5689733,937699999700000;6,559948950000035;51,333452963000070;0
205565;5200416300800579506;5;9;54;36;2020;4;14;5;3;8;6;0;1;0;1;0;0;0;381084,538499999790000;5698475,827199999200000;7,289584843000057;51,424997989000076;0
205568;5200416502339778749;5;1;13;0;2020;4;10;5;3;5;3;0;1;1;0;0;0;0;364249,032399999910000;5707536,462999999500000;7,044095053000035;51,502639635000037;0
205569;5200416514120898208;5;1;66;16;2020;4;16;5;3;0;1;0;1;0;0;0;0;0;309262,596900000240000;5691816,253900000800000;6,261143840000045;51,345571927000037;1
205571;5200418700200694204;5;5;13;0;2020;4;22;7;3;0;6;2;1;1;0;0;0;0;362899,143000000160000;5711260,677699999900000;7,023209300000076;51,535780885000065;0
205572;5200416502316142200;5;1;13;0;2020;4;15;5;3;8;1;0;1;0;0;0;0;0;356443,532700000330000;5702308,979900000600000;6,933834098000034;51,453737396000065;0
205573;5200416600110811208;5;3;14;0;2020;4;17;5;3;0;1;0;1;0;0;0;0;0;366627,558199999850000;5621577,833300000100000;7,110136599000043;50,730666398000039;0
205574;5200418316400120202;5;9;74;44;2020;4;10;7;2;0;1;0;1;0;0;0;0;1;455286,419900000100000;5700725,189999999500000;8,356447734000028;51,455936915000052;0
205575;5200415505100766209;5;1;14;0;2020;4;10;4;3;5;3;0;1;0;0;0;0;1;330333,909799999560000;5686211,647299999400000;6,566069636000066;51,301901670000063;0
205577;5200417518120472056;5;1;70;44;2020;4;11;6;3;0;1;0;1;0;0;0;0;0;337086,913099999540000;5721461,959200000400000;6,646614294000074;51,620571803000075;0
205578;5200415502338381137;5;1;13;0;2020;4;14;4;3;0;7;0;1;1;0;0;0;0;363760,499800000340000;5704370,982300000300000;7,038282288000062;51,474075597000081;0
205579;5200416709100396201;5;5;66;8;2020;4;16;5;2;5;3;0;1;1;0;0;0;0;400978,412700000220000;5779835,668600000400000;7,552390966000075;52,160122099000034;0
205580;5200418601610102203;5;3;15;0;2020;4;13;7;3;0;1;0;1;0;0;0;0;0;361526,603400000370000;5645293,157900000000000;7,028940477000049;50,942613197000071;0
205583;5200416505100876119;5;1;14;0;2020;4;21;5;3;1;7;2;1;1;0;0;0;0;331777,408999999990000;5687033,271999999900000;6,586370038000041;51,309711560000039;0
205585;5200415502229841202;5;1;13;0;2020;4;16;4;3;3;6;0;1;1;0;0;0;0;360915,076200000010000;5695070,257700000000000;7,000989815000025;51,389803740000048;0
